,difference,hhindex,university
0,0.0,14.0,UCL
1,1.0,13.0,Imperial College London
2,4.0,12.0,University of Oxford
3,7.0,11.0,Queen Mary University
4,10.0,11.0,University of Edinburgh
5,6.0,10.0,University of Lancaster
6,-3.0,9.0,University of Manchester
7,6.0,9.0,King’s College London
8,-4.0,8.0,University of Sheffield
9,-4.0,8.0,University of Cambridge
10,-2.0,8.0,University of Newcastle
11,9.0,8.0,University of Birmingham
12,5.0,8.0,University of Bristol
13,-12.0,8.0,University of Warwick
14,2.0,7.0,University of Glasgow
15,9.0,7.0,University of Cardiff
16,-1.0,7.0,University of Southampton
17,-5.0,7.0,University of Nottingham
18,-9.0,7.0,University of Liverpool
19,-12.0,7.0,University of York
20,-2.0,6.0,University of Leeds
21,-2.0,6.0,Swansea University
22,4.0,6.0,University of St Andrews
23,4.0,6.0,University of Kent
24,4.0,6.0,University of Heriot-Watt
25,4.0,6.0,University of Exeter
26,4.0,6.0,University of Aberdeen
27,-5.0,5.0,UEA
28,-7.0,4.0,University of Dundee
29,-6.0,4.0,Rayal Holloway
30,-5.0,4.0,University of Durham
