Dmitry Adamskiy
Tim Adlam
Lourdes Agapito
Daniel Alexander
Jade Alglave
Simon Arridge
Tomaso Aste
David Barber
Earl Barr
Dean Barratt
Paolo Barucca
Peter Bentley
Nadia Berthouze
Marta Betcke
Ann Blandford
Fernando Brandao
Gabriel Brostow
James Brotherston
Duncan Brumby
Kevin Bryson
Fabio Caccioli
Licia Capra
Benny Chain
Robert Chatley
Youngjun Cho
Chris Clack
David Clark
Byron Cook
Enrico Costanza
Nicolas Courtois
Ingemar Cox
Anna Cox
Toby Cubitt
George Danezis
Emiliano De Cristofaro
Christophe Dessimoz
John Dowell
Ivana Drobnjak
Wolfgang Emmerich
Chris Evans
Delmiro Fernandez-Reyes
Anthony Finkelstein
Daniel Fricke
Yun Fu
Guido Germano
Nicolas Gold
Denise Gorse
Thore Graepel
Lewis Griffin
Jens Groth
David Guzman
Steve Hailes
Mark Handley
Rae Harbird
Mark Harman
David Hawkes
Mark Herbster
Robin Hirsch
Cathy Holloway
Anthony Hunter
Kyle Jamieson
Yue Jia
Bangti Jin
David Jones
Simon Julier
Brad Karp
Peter Kirstein
Graham Knight
Iason Kokkinos
Ghita Kouadri Mostefaoui
Jens Krinke
Emmanuel Letier
Giacomo Livan
Nicolai Marquardt
Paul Marshall
Sergey Mechtaev
Sarah Meiklejohn
Niloy Mitra
Dean Mohamedally
Janaina Mourao-Miranda
Steven Murdoch
Yuzi Nakamura
Peter O'Hearn
Sebastien Ourselin
Geoff Parker
Paris Pennesi
Massimiliano Pontil
Natasa Przulj
David Pym
Sebastian Riedel
Simone Righi
Tobias Ritschel
Graham Roberts
Tim Rocktaschel
Yvonne Rogers
Daniela Romano
Federica Sarro
Angela Sasse
Ilya Sergey
Simone Severini
John Shawe-Taylor
Alexandra Silva
Aneesha Singh
Rob Smith
Srini Srinivasan
Anthony Steed
Pontus Stenetorp
Dan Stoyanov
Gianluca Stringhini
Paolo Tasca
Philip Treleaven
Stefano Vissicchio
Jun Wang
Tim Weyrich
David White
