Nada Amin
Ross Anderson
Alastair Beresford
Alan Blackwell
Ted Briscoe
Paula Buttery
Ann Copestake
Ryan Cotterell
Jon Crowcroft
John Daugman
Anuj Dawar
Marcelo Fiore
David Greaves
Timothy Griffin
Hatice Gunes
Robert Harle
Sean Holden
Andy Hopper
Alice Hutchings
Mateja Jamnik
Timothy Jones
Evangelia Kalyvianaki
Neel Krishnaswami
Markus Kuhn
IanLeslie	 
Pietro Lio'
Anil Madhavapeddy
Rafal Mantiuk
Cecilia Mascolo
Andrew Moore
Simon Moore
Richard Mortier
Robert Mullins
Alan Mycroft
Larry Paulson
Andrew Pitts
Amanda Prorok
Andrew Rice
Peter Robinson
Thomas Sauerwald
Peter Sewell
Frank Stajano
Simone Teufel
Andreas Vlachos
Ian Wassell
Robert Watson
Glynn Winskel
Damon Wischik
