Stefano Albrecht
Cristina Alexandru
Paul Anderson
Stuart Anderson
Pavlos Andreadis
Myrto Arapinis
Douglas Armstrong
D K Arvind
David Aspinall
Malcolm Atkinson
Benjamin Bach
Vaishak Belle
Pramod Bhatotia
Hakan Bilen
Chris Bishop
Julian Bradfield
Alan Bundy
Peter Buneman
Yang Cao
James Cheney
Shay Cohen
Murray Cole
Aurora Constantin
Mary Cryan
Vincent Danos
Christophe Dubach
Tariq Elahi
Kousha Etessami
Wenfei Fan
Bob Fisher
Jacques Fleuriot
Michael Fourman
Bjoern Franke
Kobi Gal
Stephen Gilmore
Dorota Glowacka
Nigel Goddard
Sharon Goldwater
Andrew Gordon
Igor Goryanin
Boris Grot
Paolo Guagliardo
Heng Guo
Michael Gutmann
Kenneth Heafield
Matthias Hennig
Michael Herrmann
Chris Heunen
Robin Hill
Jane Hillston
Timothy Hospedales
Paul Jackson
Kyriakos Kalorkoti
Martti Karvonen
Elham Kashefi
Frank Keller
Mohsen Khadem
Aggelos Kiayias
Simon King
Ewan Klein
Philipp Koehn
Markulf Kohlweiss
Taku Komura
Mirella Lapata
Alex Lascarides
Hugh Leather
John Lee
Zhibin Li
Leonid Libkin
John Longley
Adam Lopez
Christopher Lucas
Tiejun Ma
Walid Magdy
Mahesh Marina
Ursula Martin
Richard Mayr
Michael Mistry
Johanna Moore
Iain Murray
Vijay Nagarajan
Milos Nikolic
Michael O'Boyle
Arno Onken
Diego Oyarzun
Helen Pain
Petros Papapanagiotou
Paul Patras
Andreas Pieris
Gordon Plotkin
Ajitha Rajan
Ram Ramamoorthy
Steve Renals
Valerio Restocchi
Judy Robertson
Michael Rovatsos
Guido Sanguinetti
Don Sannella
Rik Sarkar
Paul Schweizer
Volker Seeker
Rico Sennrich
Peggy Series
Laura Sevilla-Lara
Richard Shillcock
Hiroshi Shimodaira
Ian Simpson
Alan Smaill
Aaron Smith
Ian Stark
Mark Steedman
Perdita Stevens
Colin Stirling
Amos Storkey
Kartic Subr
He Sun
Charles Sutton
Austin Tate
Henry Thompson
Ivan Titov
Steve Tonneau
Nigel Topham
Kami Vaniea
Vesko Velichkov
Sethu Vijayakumar
Philip Wadler
Petros Wallden
Barbara Webb
Chris Williams
Maria Wolters
Heather Yorston
Vassilis Zikas
