Alessandro Abate
Samson Abramsky
Jonathan Barrett
Michael Benedikt
Tim Berners-Lee
Richard Bird
Peter Bloodsworth
Phil Blunsom
Anisoara Calinescu
Stephen Cameron
Luca Cardelli
Alessandra Cavarra
Bob Coecke
Sadie Creese
Bernardo Cuenca Grau
Jim Davies
Edith Elkind
Zohar Etzioni
Ivan Flechais
Tim Furche
Yarin Gal
Andreas Galanis
David Gavaghan
Jeremy Gibbons
Leslie Ann Goldberg
Paul Goldberg
Michael Goldsmith
Georg Gottlob
Julian Gutierrez
Christoph Haase
Christopher Hargreaves
Tony Hoare
Ian Horrocks
Peter Jeavons
Marina Jirotka
Geraint Jones
Varun Kanade
David Kay
Andrew Ker
Stefan Kiefer
Egor Kostylev
Elias Koutsoupias
Daniel Kroening
Matt Kusner
Marta Kwiatkowska
Nicholas Lane
Gavin Lowe
Thomas Lukasiewicz
Andrew Markham
Andrew Martin
Ivan Martinovic
Tom Melham
Peter Minary
Boris Motik
Andrzej Murawski
Hanno Nickau
Dan Olteanu
Luke Ong
Joel Ouaknine
Joe Pitt-Francis
Stephen Pulman
Kasper Rasmussen
Blanca Rodriguez
Alex Rogers
Bill Roscoe
Rahul Santhanam
Nigel Shadbolt
Amir Shaikhha
Andrew Simpson
Mike Spivey
Sam Staton
Bernard Sufrin
Niki Trigoni
Max Van Kleek
Jamie Vicary
Irina Voiculescu
Jonathan Whiteley
Shimon Whiteson
Michael Wooldridge
James Worrell
Standa Živný
